unit_id,result,emotion,id,text
2675889463,happy,excitement,1236027805227417600,"Got what I wanted for Christmas. Check it out at https://t.co/gXeOVFNOiE 
Cum watch me enjoy it https://t.co/0WwFhBpZXu"
2675889463,happy,excitement,1236027805227417600,"Got what I wanted for Christmas. Check it out at https://t.co/gXeOVFNOiE 
Cum watch me enjoy it https://t.co/0WwFhBpZXu"
2675889464,fear,excitement,1236027599895359500,"It feels like now is a really good time to remind you…

Yes. Yes we will come for your AR-15s. 

#RememberInNovember 
#GunControlNOW"
2675889465,surprise,excitement,1236027708703789000,".@AndrewYang is in it for the long haul.

Expect his ideas to get taken a lot more seriously over the next 4-8 years.

https://t.co/PxNaVN126l"
2675889466,fear,excitement,1236027624960536600,"Leon says in concern, slowly rubbing Hops back. Hop leans up, and says after awhile, turns to him. “no it’s okay, Lee. I’m good. I can hold it.” 
“Well, no more okay?”
Hop stares at him hard and long, and he looks- cheeks flushed, lips wet and puffy from licking them too much -"
2675889466,pleasant,excitement,1236027624960536600,"Leon says in concern, slowly rubbing Hops back. Hop leans up, and says after awhile, turns to him. “no it’s okay, Lee. I’m good. I can hold it.” 
“Well, no more okay?”
Hop stares at him hard and long, and he looks- cheeks flushed, lips wet and puffy from licking them too much -"
2675889466,excitement,excitement,1236027624960536600,"Leon says in concern, slowly rubbing Hops back. Hop leans up, and says after awhile, turns to him. “no it’s okay, Lee. I’m good. I can hold it.” 
“Well, no more okay?”
Hop stares at him hard and long, and he looks- cheeks flushed, lips wet and puffy from licking them too much -"
2675889467,happy,excitement,1236027746913906700,"Reminder to friends: My birthday is coming up. 
https://t.co/2PFCY5x1IT"
2675889467,happy,excitement,1236027746913906700,"Reminder to friends: My birthday is coming up. 
https://t.co/2PFCY5x1IT"
2675889467,happy,excitement,1236027746913906700,"Reminder to friends: My birthday is coming up. 
https://t.co/2PFCY5x1IT"
2675889468,excitement,excitement,1236027834604433400,"random Dinobot Slash art ive done time ago, because i love her https://t.co/gWFbAumfQD"
2675889468,happy,excitement,1236027834604433400,"random Dinobot Slash art ive done time ago, because i love her https://t.co/gWFbAumfQD"
2675889468,happy,excitement,1236027834604433400,"random Dinobot Slash art ive done time ago, because i love her https://t.co/gWFbAumfQD"
2675889469,pleasant,excitement,1236027797438697500,"⭐️⭐️⭐️⭐️⭐️ Goodreads kid's book review - 

""Overall, this is another feel good adventure of Ronaldo and Rudi that will be appreciated by all ages. I can’t wait to see what else is in store for the dynamic duo.""

https://t.co/cxOhe5AV3f

www'https://t.co/f97vfwD3II

#kids #kidlit https://t.co/j0u99PJjoD"
2675889469,excitement,excitement,1236027797438697500,"⭐️⭐️⭐️⭐️⭐️ Goodreads kid's book review - 

""Overall, this is another feel good adventure of Ronaldo and Rudi that will be appreciated by all ages. I can’t wait to see what else is in store for the dynamic duo.""

https://t.co/cxOhe5AV3f

www'https://t.co/f97vfwD3II

#kids #kidlit https://t.co/j0u99PJjoD"
2675889469,excitement,excitement,1236027797438697500,"⭐️⭐️⭐️⭐️⭐️ Goodreads kid's book review - 

""Overall, this is another feel good adventure of Ronaldo and Rudi that will be appreciated by all ages. I can’t wait to see what else is in store for the dynamic duo.""

https://t.co/cxOhe5AV3f

www'https://t.co/f97vfwD3II

#kids #kidlit https://t.co/j0u99PJjoD"
2675889470,excitement,excitement,1236027805412061200,i’ll be at mill fest in 2 weeks and california in 4 weeks i’m so EXCITED
2675889470,excitement,excitement,1236027805412061200,i’ll be at mill fest in 2 weeks and california in 4 weeks i’m so EXCITED
2675889470,happy,excitement,1236027805412061200,i’ll be at mill fest in 2 weeks and california in 4 weeks i’m so EXCITED
2675889471,angry,excitement,1236027796742275000,@ByYourLogic Been waiting for the right time to do a thread on this so I guess I'll just do it here. In 2018 Bernie Sanders showed up at the gate in Dulles Airport while my wife and I were waiting with our kids for a flight to Burlington.
2675889471,surprise,excitement,1236027796742275000,@ByYourLogic Been waiting for the right time to do a thread on this so I guess I'll just do it here. In 2018 Bernie Sanders showed up at the gate in Dulles Airport while my wife and I were waiting with our kids for a flight to Burlington.
2675889472,angry,excitement,1236027637644120000,@StickyBets Slow employeeeeees or an attempt to get customers to deposit. But why choose this match? I think it's simply just edge and ill take that every single time
2675889472,angry,excitement,1236027637644120000,@StickyBets Slow employeeeeees or an attempt to get customers to deposit. But why choose this match? I think it's simply just edge and ill take that every single time
2675889473,fear,excitement,1236027788307689500,"China Flights Never Stopped. I told you..DAM.
Medical screener at LAX airport tests positive for coronavirus.
The person was among screeners who are assigned to the airport's in-transit lounge and also ""support jetway screening on direct flights from China
https://t.co/QwYLEQZ9jG"
2675889473,fear,excitement,1236027788307689500,"China Flights Never Stopped. I told you..DAM.
Medical screener at LAX airport tests positive for coronavirus.
The person was among screeners who are assigned to the airport's in-transit lounge and also ""support jetway screening on direct flights from China
https://t.co/QwYLEQZ9jG"
2675889474,angry,excitement,1236027679650037800,"Ignoring the entire point of the story, a production company wanted to replace blacks with Asians as it would be a bigger audience??? 

Do you know how mad you have to be to even ask her to do that?!"
2675889474,angry,excitement,1236027679650037800,"Ignoring the entire point of the story, a production company wanted to replace blacks with Asians as it would be a bigger audience??? 

Do you know how mad you have to be to even ask her to do that?!"
2675889474,angry,excitement,1236027679650037800,"Ignoring the entire point of the story, a production company wanted to replace blacks with Asians as it would be a bigger audience??? 

Do you know how mad you have to be to even ask her to do that?!"
2675889475,excitement,excitement,1236027758423273500,"COMING SOON: Catch our documentary charting the incredible career of one of the world's top chefs, Co Antrim born Clare Smyth. #TasteOfSuccess https://t.co/BxfSLDqlBw"
2675889475,excitement,excitement,1236027758423273500,"COMING SOON: Catch our documentary charting the incredible career of one of the world's top chefs, Co Antrim born Clare Smyth. #TasteOfSuccess https://t.co/BxfSLDqlBw"
2675889475,happy,excitement,1236027758423273500,"COMING SOON: Catch our documentary charting the incredible career of one of the world's top chefs, Co Antrim born Clare Smyth. #TasteOfSuccess https://t.co/BxfSLDqlBw"
2675889476,happy,excitement,1236027621156229000,My first Holi! (Five days early) So much fun celebrating with such incredible people here in my second home in India. #holi https://t.co/3psf0CKj3D
2675889476,excitement,excitement,1236027621156229000,My first Holi! (Five days early) So much fun celebrating with such incredible people here in my second home in India. #holi https://t.co/3psf0CKj3D
2675889476,happy,excitement,1236027621156229000,My first Holi! (Five days early) So much fun celebrating with such incredible people here in my second home in India. #holi https://t.co/3psf0CKj3D
2675889477,fear,excitement,1236027763959742500,@CPusun Good bye
2675889477,pleasant,excitement,1236027763959742500,@CPusun Good bye
